dataId,node1,node2,birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,takeTime,weightShortest,weightOptimal
317, 비전타워-가천대학교 코너,비전타워 정문,2000,0,173.0,66.0,2,25.0,0.0,0.0,43.0,0.06410842606365887,0.0
318, 비전타워 정문,가천대학교 1번출구,2000,0,173.0,66.0,2,25.0,0.0,0.0,23.0,0.03227820242010228,-83.8589419814735
319, 중앙도서관 길목,중앙도서관 정문 길목,2000,0,173.0,65.0,1,23.0,0.0,0.0,14.0,0.02024245910298387,-88.34359379490371
320, 중앙도서관 정문 길목,중앙도서관 흡연구역 입구,2000,0,173.0,65.0,1,23.0,0.0,0.0,36.0,0.04619865161436956,86.22406490331136
321, 중앙도서관 흡연구역 입구,교육대학원-중앙도서관 길목,2000,0,173.0,65.0,1,23.0,0.0,0.0,21.0,0.02883387047688575,0.0
322, 교육대학원-중앙도서관 길목,교육대학원 무당이 정류장,2000,0,173.0,65.0,1,23.0,0.0,0.0,39.0,0.04939161464612843,85.96393050992563
323, 교육대학원 무당이 정류장,교육대학원 앞 횡단보도,2000,0,173.0,65.0,1,23.0,0.0,0.0,14.0,0.018647622023670648,0.0
324, 교육대학원 앞 횡단보도,교육대학원 쪽문,2000,0,173.0,65.0,1,23.0,0.0,0.0,18.0,0.018088148578229823,-84.83218662523609
325, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
326, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
327, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
328, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
329, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
330, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
331, 광장계단 근처,공대쪽문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.10418404047617312,-88.84503836188698
332, 중앙도서관 정문,중앙도서관 정문 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,11.0,0.01903050666269261,0.0
333, 중앙도서관 정문 길목,중앙도서관 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,8.0,0.02024245910298387,88.34359379490371
334, 중앙도서관 길목,중앙도서관 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,25.0,0.037869902236779586,-89.71207202029682
335, 중앙도서관 횡단보도,중앙도서관-총학생회관 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,12.0,0.01957971023478734,89.48228216910887
336, 중앙도서관-총학생회관 길목,총학생회관 정문 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,30.0,0.04886594939235726,89.11690927379364
337, 총학생회관 정문 길목,총학생회관 무당이 정류장,2000,0,173.0,65.0,2,14.0,20.0,0.0,5.0,0.00892950372650068,-89.76228324813825
338, 총학생회관 무당이 정류장,총학생회관 정문 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,7.0,0.00892950372650068,89.76228324813825
339, 총학생회관 정문 길목,중앙도서관 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,44.0,0.06840784460579684,-89.26564859034701
340, 중앙도서관 횡단보도,중앙도서관 흡연구역 입구,2000,0,173.0,65.0,2,14.0,20.0,0.0,76.0,0.10423947381394223,89.20750258321038
341, 중앙도서관 흡연구역 입구,교육대학원-중앙도서관 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,22.0,0.02883387047688575,0.0
342, 교육대학원-중앙도서관 길목,교육대학원 무당이 정류장,2000,0,173.0,65.0,2,14.0,20.0,0.0,38.0,0.04939161464612843,85.96393050992563
343, 교육대학원 무당이 정류장,교육대학원 앞 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,11.0,0.018647622023670648,0.0
344, 교육대학원 앞 횡단보도,바람개비동산 앞 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,9.0,0.01033202175580085,0.0
345, 바람개비동산 앞 횡단보도,바람개비동산 코너,2000,0,173.0,65.0,2,14.0,20.0,0.0,11.0,0.013289524135084739,-86.19842022519668
346, 바람개비동산 코너,바람개비동산 보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,13.0,0.01611990728991885,89.07647733349258
347, 바람개비동산 보도,바람개비동산쪽 과속방지턱,2000,0,173.0,65.0,2,14.0,20.0,0.0,35.0,0.052654072191758355,-87.48756482240971
348, 바람개비동산쪽 과속방지턱,바람개비쪽 코너,2000,0,173.0,65.0,2,14.0,20.0,0.0,15.0,0.02297676903623021,-88.53757111878855
349, 바람개비쪽 코너,대학원 앞 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,24.0,0.037206638882851195,-85.74427680171878
350, 대학원 앞 길목,대학원 정문,2000,0,173.0,65.0,2,14.0,20.0,0.0,7.0,0.011765553460961718,0.0
351, 대학원 정문,대학원 앞 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,5.0,0.011765553460961718,0.0
352, 대학원 앞 길목,바람개비동산 - 대학원 길목,2000,0,173.0,65.0,2,14.0,20.0,0.0,9.0,0.013873655251566318,-88.86457452244034
353, 바람개비동산 - 대학원 길목,예음홀 앞 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,25.0,0.037126681799382756,-89.73410163710082
354, 예음홀 앞 횡단보도,예음홀-예술대학2 입구,2000,0,173.0,65.0,2,14.0,20.0,0.0,22.0,0.026576932055854027,-75.11659429421813
355, 예음홀-예술대학2 입구,예술대학-예음홀 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,10.0,0.017233800978170715,-89.01267367783011
356, 예술대학-예음홀 횡단보도,예술대학 흡연구역,2000,0,173.0,65.0,2,14.0,20.0,0.0,18.0,0.02484855270455229,88.98316591237096
357, 예술대학 흡연구역,예음홀 앞 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,12.0,0.013220552037918847,-87.47669315488241
358, 예음홀 앞 횡단보도,예술대학-예음홀 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,14.0,0.020643951512966226,-88.92484322003588
359, 예술대학-예음홀 횡단보도,예술대학-예음홀 올라가는 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,12.0,0.016257144350203194,-89.50976682749506
360, 예술대학-예음홀 올라가는 횡단보도,구ROTC 뒤 횡단보도,2000,0,173.0,65.0,2,14.0,20.0,0.0,27.0,0.0373074114527378,-89.28751765316441
361, 구ROTC 뒤 횡단보도,예술대학 무당이정류장,2000,0,173.0,65.0,2,14.0,20.0,0.0,27.0,0.019301981613441595,-88.99471945736236
362, 예술대학 무당이정류장,예술대학 코너,2000,0,173.0,65.0,2,14.0,20.0,0.0,6.0,0.00814972338842827,87.66656717286116
363, 예술대학 코너,예술대학-공대,2000,0,173.0,65.0,2,14.0,20.0,0.0,11.0,0.024878943113485128,-87.1514324443136
